                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.78315,                0.40147,                0.97078,                0.99892,                      1,                  0.995,                0.70678,                 1.0944,                0.39623,                   1.11,              0.0005744,              0.0005744,              0.0005744
                     74,                0.76812,                0.39038,                0.97113,                0.99892,                      1,                  0.995,                 0.7074,                 1.0833,                0.39764,                 1.1181,              0.0005546,              0.0005546,              0.0005546
                     75,                0.78114,                0.39159,                0.96865,                0.99879,                      1,                  0.995,                0.71658,                 1.0585,                0.39425,                 1.1197,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.7812,                 0.3879,                0.97362,                0.99888,                      1,                  0.995,                0.71593,                 1.0385,                0.38573,                 1.1091,               0.000515,               0.000515,               0.000515
                     77,                0.80862,                 0.4008,                0.97929,                0.99893,                      1,                  0.995,                0.72308,                 1.0333,                0.37005,                 1.0965,              0.0004952,              0.0004952,              0.0004952
                     78,                0.77178,                 0.3968,                0.97379,                0.99899,                      1,                  0.995,                0.72337,                  1.072,                0.39238,                 1.1021,              0.0004754,              0.0004754,              0.0004754
                     79,                0.78419,                0.38409,                0.98401,                0.99901,                      1,                  0.995,                0.71484,                 1.0973,                0.38646,                 1.1031,              0.0004556,              0.0004556,              0.0004556
                     80,                0.74744,                0.36451,                0.94561,                0.99893,                      1,                  0.995,                0.73394,                  1.063,                0.37024,                 1.1019,              0.0004358,              0.0004358,              0.0004358
                     81,                0.76205,                0.37765,                0.97656,                0.99885,                      1,                  0.995,                0.72535,                 1.0608,                0.36998,                 1.0872,               0.000416,               0.000416,               0.000416
                     82,                0.73403,                 0.3668,                0.95316,                0.99894,                      1,                  0.995,                0.73451,                  1.026,                0.37725,                 1.0885,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.7309,                0.36709,                0.96207,                0.99891,                      1,                  0.995,                0.74781,                 1.0551,                0.36524,                 1.0941,              0.0003764,              0.0003764,              0.0003764
                     84,                0.76875,                0.37055,                0.97855,                0.99905,                      1,                  0.995,                0.72276,                 1.1005,                0.37334,                 1.1016,              0.0003566,              0.0003566,              0.0003566
                     85,                0.72851,                0.36942,                0.94898,                 0.9991,                      1,                  0.995,                0.75213,                 1.0588,                0.36565,                  1.093,              0.0003368,              0.0003368,              0.0003368
                     86,                0.73267,                0.36576,                0.95721,                0.99911,                      1,                  0.995,                0.72215,                 1.0938,                0.37106,                 1.1343,               0.000317,               0.000317,               0.000317
                     87,                 0.7461,                0.36597,                0.97122,                0.99911,                      1,                  0.995,                0.74669,                 1.0336,                0.36395,                 1.0906,              0.0002972,              0.0002972,              0.0002972
                     88,                0.72486,                0.36506,                0.95779,                0.99897,                      1,                  0.995,                0.73465,                 1.0726,                0.36689,                 1.1123,              0.0002774,              0.0002774,              0.0002774
                     89,                0.72039,                0.37009,                0.95852,                  0.999,                      1,                  0.995,                0.74438,                 1.0664,                0.36371,                 1.1157,              0.0002576,              0.0002576,              0.0002576
                     90,                0.68122,                0.31788,                0.92089,                0.99893,                      1,                  0.995,                0.70857,                 1.0214,                0.36316,                 1.1064,              0.0002378,              0.0002378,              0.0002378
                     91,                0.67988,                0.31344,                0.93289,                0.99892,                      1,                  0.995,                0.71216,                 1.0344,                0.37141,                 1.1018,               0.000218,               0.000218,               0.000218
                     92,                0.68779,                0.32102,                0.93446,                0.99898,                      1,                  0.995,                0.70724,                 1.0427,                0.35881,                  1.115,              0.0001982,              0.0001982,              0.0001982
                     93,                0.65672,                0.30997,                0.91326,                0.99891,                      1,                  0.995,                0.72172,                 1.0699,                 0.3683,                 1.1333,              0.0001784,              0.0001784,              0.0001784
                     94,                0.65121,                0.30865,                0.91735,                 0.9989,                      1,                  0.995,                 0.7166,                 1.0521,                0.36524,                 1.1251,              0.0001586,              0.0001586,              0.0001586
                     95,                0.64548,                0.30431,                0.90012,                0.99897,                      1,                  0.995,                0.71447,                 1.0611,                0.37341,                 1.1247,              0.0001388,              0.0001388,              0.0001388
                     96,                0.65149,                0.29812,                0.91131,                0.99898,                      1,                  0.995,                0.72841,                 1.0544,                   0.37,                  1.126,               0.000119,               0.000119,               0.000119
                     97,                 0.6428,                0.29506,                0.90496,                0.99893,                      1,                  0.995,                0.73088,                 1.0556,                0.36273,                 1.1331,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.63108,                0.29849,                0.90216,                0.99888,                      1,                  0.995,                0.73332,                 1.0439,                0.36554,                 1.1214,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.63006,                 0.2963,                0.90453,                0.99892,                      1,                  0.995,                0.72659,                 1.0532,                0.36238,                 1.1243,               5.96e-05,               5.96e-05,               5.96e-05
